study_word,t_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,test.started,Testtext.started,textbox.started,submit_text.started,testmouse.started,test.stopped,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cruise,,,,0,0,0,10,,,,,0.09252330008894205,,0.010910999961197376,0.09252330008894205,0.09252330008894205,2.467747899936512,1,2.42422360018827,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
chart,,,,0,1,1,5,,,,,2.492110999999568,,2.468330299947411,2.492110999999568,2.492110999999568,3.2341318000108004,1,0.7393229000736028,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
poster,,,,0,2,2,13,,,,,3.25783080002293,,3.2345050000585616,3.25783080002293,3.25783080002293,3.917599300155416,1,0.6570818999316543,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
mouse,,,,0,3,3,7,,,,,3.9399029000196606,,3.917965200031176,3.9399029000196606,3.9399029000196606,5.201326600043103,1,1.2590127000585198,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
book,,,,0,4,4,0,,,,,5.2241370000410825,,5.201673800125718,5.2241370000410825,5.2241370000410825,5.884457600070164,1,0.6585021999198943,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
phone,,,,0,5,5,2,,,,,5.907403300050646,,5.884766400093213,5.907403300050646,5.907403300050646,6.579211100004613,1,0.6724899001419544,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
keys,,,,0,6,6,12,,,,,6.602138499962166,,6.579531600000337,6.602138499962166,6.602138499962166,7.215982400113717,1,0.6058643001597375,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
T-shirt,,,,0,7,7,6,,,,,7.2397617001552135,,7.216326399939135,7.2397617001552135,7.2397617001552135,7.889465400017798,1,0.6448805001564324,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
board,,,,0,8,8,14,,,,,7.924517299979925,,7.890047200024128,7.924517299979925,7.924517299979925,8.500825199997053,1,0.5783881000243127,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
pastry,,,,0,9,9,8,,,,,8.523077300051227,,8.501161700114608,8.523077300051227,8.523077300051227,9.40093920007348,1,0.8758974999655038,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
laptop,,,,0,10,10,4,,,,,9.421878300141543,,9.401248899986967,9.421878300141543,9.421878300141543,10.11829370004125,1,0.6931533999741077,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
cushion,,,,0,11,11,1,,,,,10.14360970002599,,10.118638300104067,10.14360970002599,10.14360970002599,10.788274500053376,1,0.6441452000290155,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
marble,,,,0,12,12,3,,,,,10.81313639995642,,10.788652600022033,10.81313639995642,10.81313639995642,11.361384500050917,1,0.5446174000389874,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
case,,,,0,13,13,9,,,,,11.393532500136644,,11.361811599927023,11.393532500136644,11.393532500136644,12.929710499942303,1,1.5368658998049796,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
police,,,,0,14,14,11,,,,,12.965137500083074,,12.930578500032425,12.965137500083074,12.965137500083074,13.535511699970812,1,0.5655877001117915,,,,,,,,,,,,,,,536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
,ta_l_,table,new,,,,,0,0,0,15,13.567088900133967,,,,,,,,13.541834800038487,13.567088900133967,13.567088900133967,13.567088900133967,0.010830000042915344,21.39871049998328,table,[-0.04296875],[-0.3059895833333333],[1],[0],[0],[7.8513937999960035],['submit_text'],536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
,p_nc_l,pencil,new,,,,,0,1,1,16,21.41386239998974,,,,,,,,21.400311100063846,21.41386239998974,21.41386239998974,21.41386239998974,0.0030912000220268965,24.59899410000071,pencil,[-0.04296875],[-0.3072916666666667],[1],[0],[0],[3.1948454999364913],['submit_text'],536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
,l_pt_p,laptop,old,,,,,0,2,2,0,24.619770199991763,,,,,,,,24.600820099934936,24.619770199991763,24.619770199991763,24.619770199991763,0.0054685999639332294,31.14926000009291,laptop,[-0.04296875],[-0.3072916666666667],[1],[0],[0],[6.542659099912271],['submit_text'],536112,001,2024-11-06_19h03.38.492,word priming,2024.1.5,None,2024-11-06 19h03.48.261968 +0530,
