reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.05337579996557906,,0.00998579995939508,0.05337579996557906,1.0055656000040472,1.0055656000040472,1.055618799990043,3.2268074000021443,t,2.216656500007957,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
11,30,7,0,1,1,0,3.2390302999992855,,3.2276947000063956,3.2390302999992855,4.238988699973561,4.238988699973561,4.238988699973561,4.773514100001194,l,0.5225510000018403,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
49,60,89,0,2,2,4,4.788952099974267,,4.774091899977066,4.788952099974267,5.788958899967838,5.788958899967838,5.788958899967838,6.806866099999752,t,1.0040674000047147,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
27,50,21,0,3,3,2,6.822363199957181,,6.807549399964046,6.822363199957181,7.822503799980041,7.822503799980041,7.822503799980041,8.557112500013318,t,0.7270991000114009,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
78,80,162,0,4,4,6,8.572497799992561,,8.557885199959856,8.572497799992561,9.57267409999622,9.57267409999622,9.57267409999622,11.057018199993763,t,1.4830860999645665,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
67,75,119,0,5,5,5,11.07258609996643,,11.05762469995534,11.07258609996643,12.072695299983025,12.072695299983025,12.072695299983025,12.423642100009602,l,0.33793019998120144,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
40,55,62,0,6,6,3,12.439319500001147,,12.424226999981329,12.439319500001147,13.439410599996336,13.439410599996336,13.439410599996336,13.773726999992505,t,0.3212581999832764,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
40,55,62,1,0,7,3,13.789117999956943,,13.774422099988442,13.789117999956943,14.789147100003902,14.789147100003902,14.789147100003902,15.140404200006742,l,0.3348674000008032,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
67,75,119,1,1,8,5,15.156017299974337,,15.140989599982277,15.156017299974337,16.156100099964533,16.156100099964533,16.156100099964533,16.623799499997403,l,0.46363740001106635,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
15,35,13,1,2,9,1,16.6392121000099,,16.62449449999258,16.6392121000099,17.639455600001384,17.639455600001384,17.639455600001384,18.07395849999739,l,0.4321308999788016,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
27,50,21,1,3,10,2,18.089435799978673,,18.074553599988576,18.089435799978673,19.08972749998793,19.08972749998793,19.08972749998793,19.39073439995991,t,0.2860334999859333,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
49,60,89,1,4,11,4,19.406235400005244,,19.391982599976473,19.406235400005244,20.406216599978507,20.406216599978507,20.406216599978507,20.97412309999345,t,0.5616929999669082,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
78,80,162,1,5,12,6,20.989554499974474,,20.97523260000162,20.989554499974474,21.989523299969733,21.989523299969733,21.989523299969733,22.42413369996939,t,0.42723849997855723,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
11,30,7,1,6,13,0,22.439546799985692,,22.424723899981473,22.439546799985692,23.439367999962997,23.439367999962997,23.439367999962997,23.857295399997383,l,0.4097453999565914,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
27,50,21,2,0,14,2,23.872982500004582,,23.857973299978767,23.872982500004582,24.872994699981064,24.872994699981064,24.872994699981064,24.957615199964494,l,0.07822590001160279,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
11,30,7,2,1,15,0,24.973076700000092,,24.958192599995527,24.973076700000092,25.973001900012605,25.973001900012605,25.973001900012605,26.74084889999358,t,0.7566115999943577,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
67,75,119,2,2,16,5,26.75630299997283,,26.741428299981635,26.75630299997283,27.756270299956668,27.756270299956668,27.756270299956668,27.974100399995223,t,0.20871750003425404,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
78,80,162,2,3,17,6,27.989717499993276,,27.974680499988608,27.989717499993276,28.98982929997146,28.98982929997146,28.98982929997146,36.0411009999807,t,7.047208099975251,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
40,55,62,2,4,18,3,36.05669789999956,,36.04168099997332,36.05669789999956,37.05663459998323,37.05663459998323,37.05663459998323,37.42450759996427,l,0.36382440000306815,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
15,35,13,2,5,19,1,37.440091600001324,,37.42508919996908,37.440091600001324,38.440082199987955,38.440082199987955,38.440082199987955,43.22453800000949,t,4.776354999979958,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
49,60,89,2,6,20,4,43.24021509999875,,43.22511449997546,43.24021509999875,44.24018949997844,44.24018949997844,44.24018949997844,44.50782519998029,l,0.253267300024163,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
27,50,21,3,0,21,2,44.523540499969386,,44.50840489997063,44.523540499969386,45.52358139998978,45.52358139998978,45.52358139998978,45.75794539996423,l,0.22640530002536252,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
40,55,62,3,1,22,3,45.773666199995205,,45.758526299963705,45.773666199995205,46.773597199993674,46.773597199993674,46.773597199993674,47.024695299973246,l,0.24987030000193045,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
78,80,162,3,2,23,6,47.040296599967405,,47.025275599968154,47.040296599967405,48.04037309996784,48.04037309996784,48.04037309996784,51.19152029999532,l,3.136158599983901,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
67,75,119,3,3,24,5,51.207068699994124,,51.192096999962814,51.207068699994124,52.20707790000597,52.20707790000597,52.20707790000597,52.77470169996377,t,0.5581286000087857,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
49,60,89,3,4,25,4,52.790475099987816,,52.77527689997805,52.790475099987816,53.79048540000804,53.79048540000804,53.79048540000804,54.341544799972326,l,0.5372829999541864,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
11,30,7,3,5,26,0,54.3572193,,54.34211799997138,54.3572193,55.357219199999236,55.357219199999236,55.357219199999236,56.141848400002345,t,0.7811852000304498,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
15,35,13,3,6,27,1,56.157157099980395,,56.142430800013244,56.157157099980395,57.15731829998549,57.15731829998549,57.15731829998549,57.94166710000718,l,0.7772707000258379,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
15,35,13,4,0,28,1,57.957322900008876,,57.94224929995835,57.957322900008876,58.95711700001266,58.95711700001266,58.95711700001266,59.22489139996469,t,0.2543641000520438,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
49,60,89,4,1,29,4,59.24061509995954,,59.22547199996188,59.24061509995954,60.240639799972996,60.240639799972996,60.240639799972996,60.708463899965864,t,0.4550514000002295,None,22,001,2024-11-20_20h45.11.299,delay discounting task,2024.1.5,None,2024-11-20 20h45.22.350114 +0530,
