study_word,t_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,test.started,Testtext.started,textbox.started,submit_text.started,testmouse.started,test.stopped,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
laptop,,,,0,0,0,4,,,,,0.07295390008948743,,0.009267200017347932,0.07295390008948743,0.07295390008948743,5.714461100054905,1.0854166666666665,5.6780099999159575,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
mouse,,,,0,1,1,7,,,,,5.743794800015166,,5.715834400150925,5.743794800015166,5.743794800015166,6.9311832000967115,1.0854166666666665,1.1856480999849737,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
book,,,,0,2,2,0,,,,,6.953405200038105,,6.931509300135076,6.953405200038105,6.953405200038105,8.264708600006998,1.0854166666666665,1.3097655999008566,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
phone,,,,0,3,3,2,,,,,8.292192000197247,,8.26506120013073,8.292192000197247,8.292192000197247,9.200499500147998,1.0854166666666665,0.9080881997942924,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
cushion,,,,0,4,4,1,,,,,9.224506000056863,,9.2008524001576,9.224506000056863,9.224506000056863,10.164844100130722,1.0854166666666665,0.9387296999339014,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
board,,,,0,5,5,14,,,,,10.191034500021487,,10.165198000147939,10.191034500021487,10.191034500021487,10.88154560001567,1.0854166666666665,0.6893868001643568,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
pastry,,,,0,6,6,8,,,,,10.906083900015801,,10.881902300054207,10.906083900015801,10.906083900015801,12.432803899981081,1.0854166666666665,1.5248840001877397,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
chart,,,,0,7,7,5,,,,,12.457800399977714,,12.433156100101769,12.457800399977714,12.457800399977714,13.231680900091305,1.0854166666666665,0.7726454997900873,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
cruise,,,,0,8,8,10,,,,,13.255587100051343,,13.232030700193718,13.255587100051343,13.255587100051343,13.982127299997956,1.0854166666666665,0.7246097000315785,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
case,,,,0,9,9,9,,,,,14.00519200018607,,13.982515000039712,14.00519200018607,14.00519200018607,15.231755200074986,1.0854166666666665,1.2236866001039743,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
poster,,,,0,10,10,13,,,,,15.25456630019471,,15.232160900020972,15.25456630019471,15.25456630019471,15.931749199982733,1.090625,0.6743929998483509,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
keys,,,,0,11,11,12,,,,,15.955897700041533,,15.93215180002153,15.955897700041533,15.955897700041533,17.015107000013813,1.090625,1.057964500039816,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
T-shirt,,,,0,12,12,6,,,,,17.04195400001481,,17.015463100047782,17.04195400001481,17.04195400001481,17.759274900192395,1.0958333333333332,0.7148635999765247,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
marble,,,,0,13,13,3,,,,,17.787291400134563,,17.75983180012554,17.787291400134563,17.787291400134563,18.581858300138265,1.0958333333333332,0.7954520999919623,,,,,,,,,,,,,,,800863,001,2024-11-06_18h58.55.484,word priming,2024.1.5,None,2024-11-06 18h59.09.123280 +0530,
