reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,2,0.053576899983454496,,0.010046399955172092,0.053576899983454496,1.009180599998217,1.009180599998217,1.059143699996639,5.867498999985401,l,4.840993299963884,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
67,75,119,0,1,1,5,5.881479999981821,,5.868810599960852,5.881479999981821,6.875955800001975,6.875955800001975,6.89280879998114,7.443831099953968,t,0.5550574000226334,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
11,30,7,0,2,2,0,7.4592384999850765,,7.444497899967246,7.4592384999850765,8.459551299980376,8.459551299980376,8.459551299980376,8.910946199961472,l,0.4396069999784231,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
49,60,89,0,3,3,4,8.926157100009732,,8.911997199989855,8.926157100009732,9.926254999998491,9.926254999998491,9.926254999998491,10.244188499986194,t,0.3039503999752924,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
78,80,162,0,4,4,6,10.259297199954744,,10.24512279999908,10.259297199954744,11.259528599970508,11.259528599970508,11.259528599970508,12.111091999977361,l,0.8476777000469156,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
40,55,62,0,5,5,3,12.126190099981613,,12.112023499968927,12.126190099981613,13.126347299956251,13.126347299956251,13.126347299956251,13.744079099968076,t,0.6027897000312805,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
15,35,13,0,6,6,1,13.759623799996916,,13.744661299977452,13.759623799996916,14.75971529999515,14.75971529999515,14.75971529999515,15.244089099986013,t,0.46844749996671453,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
67,75,119,1,0,7,5,15.25967539998237,,15.244668399973307,15.25967539998237,16.259714899992105,16.259714899992105,16.259714899992105,16.877332300005946,l,0.6132038999930955,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
15,35,13,1,1,8,1,16.892982699966524,,16.878024799982086,16.892982699966524,17.893128099967726,17.893128099967726,17.893128099967726,18.67758610000601,t,0.7719523999840021,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
40,55,62,1,2,9,3,18.693063899991103,,18.67851589998463,18.693063899991103,19.693132499989588,19.693132499989588,19.693132499989588,20.34424379997654,l,0.6448912999476306,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
11,30,7,1,3,10,0,20.35976949997712,,20.344824099971447,20.35976949997712,21.359967799973674,21.359967799973674,21.359967799973674,21.79430109995883,t,0.4184709999826737,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
27,50,21,1,4,11,2,21.809652699972503,,21.794879299995955,21.809652699972503,22.809679199999664,22.809679199999664,22.809679199999664,23.47768869996071,t,0.6540388000430539,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
49,60,89,1,5,12,4,23.49303009995492,,23.47826800000621,23.49303009995492,24.493153299961705,24.493153299961705,24.493153299961705,24.994400099967606,l,0.49670590000459924,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
78,80,162,1,6,13,6,25.010025599971414,,24.995089199976064,25.010025599971414,26.009844599990174,26.009844599990174,26.009844599990174,26.527821699972264,l,0.5095560000045225,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
11,30,7,2,0,14,0,26.54328969999915,,26.528397599991877,26.54328969999915,27.54337490000762,27.54337490000762,27.54337490000762,30.111253799987026,t,2.5668233999749646,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
40,55,62,2,1,15,3,30.126757199992426,,30.111921600007918,30.126757199992426,31.126781700004358,31.126781700004358,31.126781700004358,32.227929799992125,l,1.0942808000254445,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
49,60,89,2,2,16,4,32.243285099975765,,32.22853689995827,32.243285099975765,33.24373619997641,33.24373619997641,33.24373619997641,33.8298656999832,l,0.5690078000188805,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
15,35,13,2,3,17,1,33.84704329998931,,33.83185959997354,33.84704329998931,34.84379309997894,34.84379309997894,34.860536099993624,35.744883199979085,t,0.8947524999966845,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
78,80,162,2,4,18,6,35.7602571999887,,35.74571149999974,35.7602571999887,36.760306699958164,36.760306699958164,36.760306699958164,37.66165849997196,l,0.8930045000161044,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
27,50,21,2,5,19,2,37.67699639999773,,37.66248579998501,37.67699639999773,38.677043900010176,38.677043900010176,38.677043900010176,41.113166700000875,t,2.4262974999728613,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
67,75,119,2,6,20,5,41.131753199966624,,41.11482449999312,41.131753199966624,42.127053099975456,42.127053099975456,42.1437265999848,42.72824619995663,l,0.5858750999905169,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
40,55,62,3,0,21,3,42.743740600009914,,42.728819599957205,42.743740600009914,43.743865599972196,43.743865599972196,43.743865599972196,45.81168589997105,l,2.0609101000009105,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
15,35,13,3,1,22,1,45.826998899981845,,45.812258399964776,45.826998899981845,46.82725749997189,46.82725749997189,46.82725749997189,48.31155749998288,t,1.4708279999904335,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
78,80,162,3,2,23,6,48.32726220000768,,48.31219839997357,48.32726220000768,49.32732549996581,49.32732549996581,49.32732549996581,50.32834259996889,t,0.9997928999946453,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
49,60,89,3,3,24,4,50.34391489997506,,50.32901389995823,50.34391489997506,51.344061799987685,51.344061799987685,51.344061799987685,51.863159200001974,l,0.5028279999969527,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
11,30,7,3,4,25,0,51.88126429996919,,51.864964599953964,51.88126429996919,52.8775129999849,52.8775129999849,52.89414529997157,53.34524299995974,t,0.45883459999458864,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
27,50,21,3,5,26,2,53.36057459999574,,53.34596839995356,53.36057459999574,54.3607640999835,54.3607640999835,54.3607640999835,54.67897439998342,l,0.3169748000218533,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
67,75,119,3,6,27,5,54.693926999985706,,54.67955339996843,54.693926999985706,55.69421039998997,55.69421039998997,55.69421039998997,55.978598699963186,t,0.27794330002507195,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
49,60,89,4,0,28,4,55.99414279998746,,55.97917489998508,55.99414279998746,56.99404209997738,56.99404209997738,56.99404209997738,57.378617499955,l,0.3757391000399366,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
11,30,7,4,1,29,0,57.39400339999702,,57.37929789995542,57.39400339999702,58.39446699997643,58.39446699997643,58.39446699997643,58.66228509997018,l,0.2558795000077225,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
27,50,21,4,2,30,2,58.67741179995937,,58.66324339999119,58.67741179995937,59.67770219995873,59.67770219995873,59.67770219995873,60.062681399984285,l,0.38328870001714677,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
15,35,13,4,3,31,1,60.07765880000079,,60.06378899997799,60.07765880000079,61.07774239999708,61.07774239999708,61.07774239999708,61.2956370000029,l,0.21684329997515306,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
78,80,162,4,4,32,6,61.31093679997139,,61.29632979998132,61.31093679997139,62.3109509999631,62.3109509999631,62.3109509999631,62.86226339999121,t,0.548984199995175,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
40,55,62,4,5,33,3,62.87767969997367,,62.8628056999878,62.87767969997367,63.87779989995761,63.87779989995761,63.87779989995761,64.14561119995778,t,0.26538229995639995,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
67,75,119,4,6,34,5,64.1610552999773,,64.14618899999186,64.1610552999773,65.16110599995591,65.16110599995591,65.16110599995591,65.3456629999564,l,0.1832602999638766,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
67,75,119,5,0,35,5,65.36104190000333,,65.34634729998652,65.36104190000333,66.36118199996417,66.36118199996417,66.36118199996417,66.82886299997335,t,0.4510359999840148,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
78,80,162,5,1,36,6,66.8442544999998,,66.82944589998806,66.8442544999998,67.84457680000924,67.84457680000924,67.84457680000924,68.4957662000088,l,0.6480008999933489,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
11,30,7,5,2,37,0,68.51116599998204,,68.49672629998531,68.51116599998204,69.51127610000549,69.51127610000549,69.51127610000549,69.72891800000798,l,0.20748889999231324,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
15,35,13,5,3,38,1,69.74457919999259,,69.72949239995796,69.74457919999259,70.74468999996316,70.74468999996316,70.74468999996316,71.29571839998243,t,0.5459299000212923,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
40,55,62,5,4,39,3,71.31118109996896,,71.29628859995864,71.31118109996896,72.31115480000153,72.31115480000153,72.31115480000153,72.74568529997487,t,0.4252822000416927,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
49,60,89,5,5,40,4,72.76128469995456,,72.7462644999614,72.76128469995456,73.76136679999763,73.76136679999763,73.76136679999763,74.52925919997506,l,0.7544647000031546,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
27,50,21,5,6,41,2,74.54476819996489,,74.52983700000914,74.54476819996489,75.54488949995721,75.54488949995721,75.54488949995721,75.78032499999972,t,0.23315479996381328,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
11,30,7,6,0,42,0,75.79468449996784,,75.781283099961,75.79468449996784,76.79477079998469,76.79477079998469,76.79477079998469,76.94580859999405,t,0.14414109999779612,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
15,35,13,6,1,43,1,76.96142119995784,,76.94638529996155,76.96142119995784,77.96143989998382,77.96143989998382,77.96143989998382,78.27927009999985,l,0.3035651000100188,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
27,50,21,6,2,44,2,78.29493129998446,,78.27987929998199,78.29493129998446,79.29497909999918,79.29497909999918,79.29497909999918,79.61249249998946,l,0.30547000002115965,None,21,001,2024-11-20_20h35.45.973,delay discounting task,2024.1.5,None,2024-11-20 20h35.59.146832 +0530,
